1,0,0.1,1.403348211,0.6796
2,0,-0.49,0.93760237,0.623
3,-10,-0.78,0.703859831,0.5663
4,0,-3.29,0.7208656,0.5097
5,4.42,-4.8,0.281331129,0.4814
6,0,-5.745,0.865921471,0.4814
7,0,-3.005,0.985014473,0.4531
8,0,-2.12,0.954218813,0.4531
9,0,-4.385,0.653103799,0.4248
10,3.15,-6.755,0.653893392,0.3964
11,0,-2.995,1.29467758,0.4531
12,4,0.165,0.967388069,0.4814
13,0,-3.94,0.981397757,0.3964
14,3.67,-1.48,0.70298226,0.6796
15,12.97,2.475,0.64730348,0.7079
16,0,2.265,1.628557836,0.5947
17,0,2.345,1.277342115,0.5663
18,0,2.38,0.506890477,0.5947
19,0,2.42,0.342773488,0.5663
20,0,0.54,0.798873596,0.5097
21,0,-0.575,1.072566363,0.4814
22,0,-0.54,1.000295813,0.4531
23,0,-0.005,0.753515682,0.4248
24,0,-5.945,0.963121331,0.4248
25,1,-6.475,0.557621817,0.4248
26,0,-3.455,0.871313324,0.3681
27,0,-4.705,0.974398617,0.3681
28,0,-3.485,0.811033494,0.3398
29,0,-4.365,0.724607699,0.3398
30,0,-6.775,0.692827664,0.3115
31,0,-7.63,0.587772399,0.3115
32,2.25,-7.925,0.633315303,0.2832
33,0,-7.665,0.664352749,0.2832
34,0,-8.25,0.717895913,0.2832
35,0,-5.49,0.819930085,0.2747
36,0,-5.505,1.026820638,0.2747
37,0,-5.555,0.92666741,0.2718
38,1.51,-5.23,0.840598286,0.2718
39,0,-3.365,1.320190458,0.269
40,0,-3.325,1.318478462,0.2662
41,0,-4.5,1.213447705,0.2633
42,0,-4.41,1.218877681,0.2633
43,0,-3.965,1.219218377,0.2605
44,0,-5.02,1.387356901,0.2577
45,0,-2.41,1.734687511,0.2549
46,0,-0.125,1.615873755,0.2633
47,6.48,-1.92,0.655529562,0.2747
48,0,-5.115,1.289038858,0.2577
49,0,-7.795,0.950022077,0.2407
50,0,-3.625,1.831326134,0.2435
51,0,0.115,2.792018899,0.2407
52,3.61,4.01,2.160035713,0.2407
53,8.02,5.1,1.562430602,0.3398
54,5.06,3.75,0.763524186,0.3681
55,0.99,5.1,1.076344019,0.3398
56,0,3.39,1.67233931,0.3115
57,0,-0.97,1.552437946,0.2775
58,0,-3.905,0.590549883,0.2577
59,0,-4.235,0.814560867,0.2464
60,1.25,-9.53,0.844968293,0.2435
61,0,-10.91,0.579766372,0.2294
62,1.17,-10.965,0.659371739,0.2237
63,0,-7.68,1.149733613,0.2209
64,0,-2.34,2.250170437,0.2322
65,3,2.395,2.055008629,0.2718
66,1.49,2.14,1.881791681,0.2605
67,0,3,1.982218709,0.2605
68,4.27,7.865,2.408940433,0.538
69,6.22,7.69,2.217808371,0.5097
70,0,3.27,2.474579953,0.3964
71,0,2.73,3.092769282,0.3681
72,0,-4.13,1.287897888,0.3115
73,0,-3.61,1.128580843,0.3115
74,20.39,-2.565,0.706307451,0.3398
75,0,0.76,1.261524709,0.3398
76,0,1.39,2.570608699,0.4248
77,0,4.29,2.795305605,0.9061
78,17.29,6.46,2.043231177,1.4725
79,0,3.16,2.602967632,0.9345
80,0,5.945,3.091883807,0.7929
81,15.89,7.29,1.994673263,9.741
82,28.19,5.23,2.376477651,4.1059
83,0,1.12,1.543244981,2.0954
84,0,4.765,2.698462567,1.6141
85,6.64,5.205,0.784654377,1.4442
86,0,3.335,1.605357831,1.1327
87,0,3.005,2.459849562,0.9345
88,0,6.02,3.016075017,0.8212
89,17.82,6.52,1.231646705,1.8972
90,6.06,7.895,0.907534436,1.4158
91,9.61,7.46,1.373402121,2.3786
92,14.55,4.29,1.103372971,2.3786
93,0,8.13,2.785571969,1.784
94,0,8.335,3.773279957,1.4158
95,7.99,10.455,2.883024362,1.5008
96,0,9.785,3.834003335,1.1327
97,0,9.405,3.692708658,0.9628
98,0,10.89,4.338036369,0.8495
99,0,12.475,3.4851471,0.9061
100,38.91,14.2,2.122783373,7.1358
101,9.91,11.67,3.089395454,3.0582
102,0,8.265,3.700552234,2.0388
103,0,11.325,3.714866193,1.6141
104,3.97,10.24,2.80894515,1.3592
105,18.04,9.965,2.178843552,3.5396
106,18.15,9.72,2.092455922,3.5679
107,0,5.645,1.908011691,2.1804
108,0,2.18,2.56911963,1.6424
109,0,7.705,4.265400491,1.3875
110,0,10.78,4.991690972,1.2176
111,0,13.54,5.429933701,1.0477
112,0,14.51,5.583896062,0.9345
113,0,12.665,5.523708517,0.8212
114,0,13.615,5.663118163,0.7646
115,0,13.62,5.114516568,0.7079
116,3.67,13.78,2.768395824,0.6513
117,0,9.615,2.987262999,0.623
118,8.49,9.235,1.141260672,0.8212
119,12.2,9.005,0.36755189,1.1327
120,15.27,10,0.994529982,1.784
121,5,11.06,1.387629068,1.6707
122,6.97,12.01,1.411628403,1.4158
123,0,14.56,4.167417565,1.2176
124,4.48,15.765,4.064916132,1.1044
125,0,17.68,5.646336155,0.9061
126,0,18.265,6.363836331,0.7929
127,0,19.57,6.544591354,0.7362
128,0,16.29,6.318269933,0.6796
129,0,12.175,4.422353001,0.623
130,0,8.145,3.541904599,0.5663
131,0,9.01,4.376263951,0.538
132,2,13.885,4.787756839,0.5663
133,15.99,16.595,2.050717096,1.8689
134,25.72,19.755,2.63099424,2.3786
135,5.04,18.31,3.306751267,1.5857
136,0,11.73,4.169848026,1.1044
137,0,11.655,4.719116928,0.9345
138,0,13.795,4.365843438,0.8212
139,8.47,15,2.50606344,0.8212
140,3.87,17.605,2.068389383,0.7079
141,4,17.875,2.679976882,0.6513
142,15.79,17.695,2.261854276,1.2176
143,9.29,17.79,3.533782268,0.7079
144,0,20.68,6.145759891,0.623
145,0,21.87,5.263314004,0.5947
146,0,20.35,4.862601257,0.5663
147,0,16.595,6.488013525,0.4814
148,0,14.815,5.421915968,0.4531
149,0,16.35,5.480598871,0.4248
